EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station DOLINA PIECIU STAWOW, POLAND (STAID: 24900)
Blended and updated with sources:137238 137250 137262 911933 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 24900,137250,19910101,  -44,    0
 24900,137250,19910102,  -65,    0
 24900,137250,19910103,   31,    0
 24900,137250,19910104,   42,    0
 24900,137250,19910105,  -30,    0
 24900,137250,19910106,  -48,    0
 24900,137250,19910107,  -29,    0
 24900,137250,19910108,  -14,    0
 24900,137250,19910109,   12,    0
 24900,137250,19910110,   13,    0
 24900,137250,19910111,   24,    0
 24900,137250,19910112,  -13,    0
 24900,137250,19910113,  -37,    0
 24900,137250,19910114,  -94,    0
 24900,137250,19910115, -124,    0
 24900,137250,19910116, -100,    0
 24900,137250,19910117,  -70,    0
 24900,137250,19910118,  -48,    0
 24900,137250,19910119,  -32,    0
 24900,137250,19910120,  -46,    0
 24900,137250,19910121,  -36,    0
 24900,137250,19910122,  -70,    0
 24900,137250,19910123,  -68,    0
 24900,137250,19910124,  -58,    0
 24900,137250,19910125,  -66,    0
 24900,137250,19910126,    9,    0
 24900,137250,19910127,  -63,    0
 24900,137250,19910128,  -85,    0
 24900,137250,19910129, -100,    0
 24900,137250,19910130, -146,    0
 24900,137250,19910131, -179,    0
 24900,137250,19910201, -146,    0
 24900,137250,19910202, -173,    0
 24900,137250,19910203, -160,    0
 24900,137250,19910204, -181,    0
 24900,137250,19910205, -207,    0
 24900,137250,19910206, -153,    0
 24900,137250,19910207, -100,    0
 24900,137250,19910208,  -86,    0
 24900,137250,19910209,  -87,    0
 24900,137250,19910210,  -43,    0
 24900,137250,19910211,  -53,    0
 24900,137250,19910212,  -87,    0
 24900,137250,19910213, -140,    0
 24900,137250,19910214, -164,    0
 24900,137250,19910215, -157,    0
 24900,137250,19910216, -132,    0
 24900,137250,19910217, -118,    0
 24900,137250,19910218, -108,    0
 24900,137250,19910219,  -86,    0
 24900,137250,19910220,  -33,    0
 24900,137250,19910221,   -1,    0
 24900,137250,19910222,  -11,    0
 24900,137250,19910223,  -35,    0
 24900,137250,19910224,   28,    0
 24900,137250,19910225,   40,    0
 24900,137250,19910226,  -57,    0
 24900,137250,19910227, -106,    0
 24900,137250,19910228,  -86,    0
 24900,137250,19910301,  -75,    0
 24900,137250,19910302,  -17,    0
 24900,137250,19910303,  -26,    0
 24900,137250,19910304,   -9,    0
 24900,137250,19910305,  -15,    0
 24900,137250,19910306,  -28,    0
 24900,137250,19910307,   -3,    0
 24900,137250,19910308,   43,    0
 24900,137250,19910309,   79,    0
 24900,137250,19910310,   31,    0
 24900,137250,19910311,    6,    0
 24900,137250,19910312,   -4,    0
 24900,137250,19910313,  -13,    0
 24900,137250,19910314,    5,    0
 24900,137250,19910315,   12,    0
 24900,137250,19910316,   13,    0
 24900,137250,19910317,    0,    0
 24900,137250,19910318,    4,    0
 24900,137250,19910319,    6,    0
 24900,137250,19910320,    5,    0
 24900,137250,19910321,   25,    0
 24900,137250,19910322,   43,    0
 24900,137250,19910323,   30,    0
 24900,137250,19910324,   71,    0
 24900,137250,19910325,   10,    0
 24900,137250,19910326,  -21,    0
 24900,137250,19910327,  -78,    0
 24900,137250,19910328,  -80,    0
 24900,137250,19910329,  -41,    0
 24900,137250,19910330,  -17,    0
 24900,137250,19910331,  -25,    0
 24900,137250,19910401,  -34,    0
 24900,137250,19910402,   18,    0
 24900,137250,19910403,   32,    0
 24900,137250,19910404,    6,    0
 24900,137250,19910405,   13,    0
 24900,137250,19910406,   18,    0
 24900,137250,19910407,   19,    0
 24900,137250,19910408,   -4,    0
 24900,137250,19910409,  -20,    0
 24900,137250,19910410,  -58,    0
 24900,137250,19910411,  -15,    0
 24900,137250,19910412,   -2,    0
 24900,137250,19910413,   -5,    0
 24900,137250,19910414,   -7,    0
 24900,137250,19910415,   13,    0
 24900,137250,19910416,   14,    0
 24900,137250,19910417,  -58,    0
 24900,137250,19910418,  -59,    0
 24900,137250,19910419,  -42,    0
 24900,137250,19910420,  -61,    0
 24900,137250,19910421,  -82,    0
 24900,137250,19910422,  -79,    0
 24900,137250,19910423,  -50,    0
 24900,137250,19910424,  -42,    0
 24900,137250,19910425,  -24,    0
 24900,137250,19910426,  -18,    0
 24900,137250,19910427,    1,    0
 24900,137250,19910428,   -2,    0
 24900,137250,19910429,   14,    0
 24900,137250,19910430,   17,    0
 24900,137250,19910501,   38,    0
 24900,137250,19910502,   32,    0
 24900,137250,19910503,   31,    0
 24900,137250,19910504,   22,    0
 24900,137250,19910505,    9,    0
 24900,137250,19910506,   30,    0
 24900,137250,19910507,   26,    0
 24900,137250,19910508,  -10,    0
 24900,137250,19910509,   25,    0
 24900,137250,19910510,   57,    0
 24900,137250,19910511,   69,    0
 24900,137250,19910512,   60,    0
 24900,137250,19910513,   14,    0
 24900,137250,19910514,   25,    0
 24900,137250,19910515,  -15,    0
 24900,137250,19910516,  -11,    0
 24900,137250,19910517,   -9,    0
 24900,137250,19910518,   13,    0
 24900,137250,19910519,  -16,    0
 24900,137250,19910520,   31,    0
 24900,137250,19910521,   47,    0
 24900,137250,19910522,   61,    0
 24900,137250,19910523,  -22,    0
 24900,137250,19910524,  -23,    0
 24900,137250,19910525,  -12,    0
 24900,137250,19910526,   -2,    0
 24900,137250,19910527,    2,    0
 24900,137250,19910528,   19,    0
 24900,137250,19910529,   15,    0
 24900,137250,19910530,   36,    0
 24900,137250,19910531,   47,    0
 24900,137250,19910601,   89,    0
 24900,137250,19910602,   55,    0
 24900,137250,19910603,   76,    0
 24900,137250,19910604,   37,    0
 24900,137250,19910605,   31,    0
 24900,137250,19910606,   61,    0
 24900,137250,19910607,   67,    0
 24900,137250,19910608,   78,    0
 24900,137250,19910609,   61,    0
 24900,137250,19910610,   94,    0
 24900,137250,19910611,   77,    0
 24900,137250,19910612,   79,    0
 24900,137250,19910613,  115,    0
 24900,137250,19910614,   77,    0
 24900,137250,19910615,   96,    0
 24900,137250,19910616,  139,    0
 24900,137250,19910617,  166,    0
 24900,137250,19910618,   98,    0
 24900,137250,19910619,   68,    0
 24900,137250,19910620,   68,    0
 24900,137250,19910621,   99,    0
 24900,137250,19910622,  119,    0
 24900,137250,19910623,  149,    0
 24900,137250,19910624,  126,    0
 24900,137250,19910625,   89,    0
 24900,137250,19910626,  147,    0
 24900,137250,19910627,  131,    0
 24900,137250,19910628,   59,    0
 24900,137250,19910629,   43,    0
 24900,137250,19910630,   46,    0
 24900,137250,19910701,   81,    0
 24900,137250,19910702,  104,    0
 24900,137250,19910703,  130,    0
 24900,137250,19910704,  130,    0
 24900,137250,19910705,  133,    0
 24900,137250,19910706,  130,    0
 24900,137250,19910707,  137,    0
 24900,137250,19910708,  157,    0
 24900,137250,19910709,  187,    0
 24900,137250,19910710,  139,    0
 24900,137250,19910711,  152,    0
 24900,137250,19910712,  172,    0
 24900,137250,19910713,  162,    0
 24900,137250,19910714,  169,    0
 24900,137250,19910715,  108,    0
 24900,137250,19910716,  115,    0
 24900,137250,19910717,  109,    0
 24900,137250,19910718,   75,    0
 24900,137250,19910719,   98,    0
 24900,137250,19910720,  127,    0
 24900,137250,19910721,  120,    0
 24900,137250,19910722,  101,    0
 24900,137250,19910723,  114,    0
 24900,137250,19910724,  135,    0
 24900,137250,19910725,  113,    0
 24900,137250,19910726,   66,    0
 24900,137250,19910727,   69,    0
 24900,137250,19910728,   78,    0
 24900,137250,19910729,   86,    0
