EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station VILLACH-STADT, AUSTRIA (STAID: 24752)
Blended and updated with sources:135372 911213 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 24752,135372,19300101,  -10,    0
 24752,135372,19300102,  -13,    0
 24752,135372,19300103,   -8,    0
 24752,135372,19300104,  -34,    0
 24752,135372,19300105,  -34,    0
 24752,135372,19300106,  -20,    0
 24752,135372,19300107,  -44,    0
 24752,135372,19300108,  -55,    0
 24752,135372,19300109,  -34,    0
 24752,135372,19300110,  -35,    0
 24752,135372,19300111,   -4,    0
 24752,135372,19300112,    0,    0
 24752,135372,19300113,   -6,    0
 24752,135372,19300114,  -18,    0
 24752,135372,19300115,  -30,    0
 24752,135372,19300116,   -5,    0
 24752,135372,19300117,    5,    0
 24752,135372,19300118,  -25,    0
 24752,135372,19300119,  -45,    0
 24752,135372,19300120,  -47,    0
 24752,135372,19300121,  -41,    0
 24752,135372,19300122,  -61,    0
 24752,135372,19300123,  -61,    0
 24752,135372,19300124,  -59,    0
 24752,135372,19300125,  -36,    0
 24752,135372,19300126,    7,    0
 24752,135372,19300127,   52,    0
 24752,135372,19300128,   24,    0
 24752,135372,19300129,   25,    0
 24752,135372,19300130,   16,    0
 24752,135372,19300131,   16,    0
 24752,135372,19300201,    5,    0
 24752,135372,19300202,   17,    0
 24752,135372,19300203,   22,    0
 24752,135372,19300204,   -2,    0
 24752,135372,19300205,   -4,    0
 24752,135372,19300206,  -21,    0
 24752,135372,19300207,   16,    0
 24752,135372,19300208,   24,    0
 24752,135372,19300209,  -50,    0
 24752,135372,19300210,  -71,    0
 24752,135372,19300211,  -60,    0
 24752,135372,19300212,  -41,    0
 24752,135372,19300213,  -38,    0
 24752,135372,19300214,    5,    0
 24752,135372,19300215,   19,    0
 24752,135372,19300216,   12,    0
 24752,135372,19300217,    1,    0
 24752,135372,19300218,    4,    0
 24752,135372,19300219,  -12,    0
 24752,135372,19300220,  -18,    0
 24752,135372,19300221,  -23,    0
 24752,135372,19300222,  -10,    0
 24752,135372,19300223,  -22,    0
 24752,135372,19300224,   -1,    0
 24752,135372,19300225,  -17,    0
 24752,135372,19300226,   -7,    0
 24752,135372,19300227,  -20,    0
 24752,135372,19300228,   30,    0
 24752,135372,19300301,   34,    0
 24752,135372,19300302,   32,    0
 24752,135372,19300303,   48,    0
 24752,135372,19300304,   78,    0
 24752,135372,19300305,   67,    0
 24752,135372,19300306,   64,    0
 24752,135372,19300307,   25,    0
 24752,135372,19300308,   37,    0
 24752,135372,19300309,   59,    0
 24752,135372,19300310,   64,    0
 24752,135372,19300311,   36,    0
 24752,135372,19300312,   16,    0
 24752,135372,19300313,   17,    0
 24752,135372,19300314,   30,    0
 24752,135372,19300315,   75,    0
 24752,135372,19300316,   84,    0
 24752,135372,19300317,   71,    0
 24752,135372,19300318,   93,    0
 24752,135372,19300319,   69,    0
 24752,135372,19300320,   40,    0
 24752,135372,19300321,   44,    0
 24752,135372,19300322,   78,    0
 24752,135372,19300323,   58,    0
 24752,135372,19300324,   84,    0
 24752,135372,19300325,   93,    0
 24752,135372,19300326,   87,    0
 24752,135372,19300327,   86,    0
 24752,135372,19300328,   55,    0
 24752,135372,19300329,   72,    0
 24752,135372,19300330,   99,    0
 24752,135372,19300331,   73,    0
 24752,135372,19300401,   87,    0
 24752,135372,19300402,   98,    0
 24752,135372,19300403,   94,    0
 24752,135372,19300404,   85,    0
 24752,135372,19300405,   93,    0
 24752,135372,19300406,   77,    0
 24752,135372,19300407,   92,    0
 24752,135372,19300408,   83,    0
 24752,135372,19300409,   80,    0
 24752,135372,19300410,   82,    0
 24752,135372,19300411,  104,    0
 24752,135372,19300412,  113,    0
 24752,135372,19300413,  106,    0
 24752,135372,19300414,   76,    0
 24752,135372,19300415,   36,    0
 24752,135372,19300416,   58,    0
 24752,135372,19300417,   48,    0
 24752,135372,19300418,   53,    0
 24752,135372,19300419,   61,    0
 24752,135372,19300420,   85,    0
 24752,135372,19300421,   86,    0
 24752,135372,19300422,   94,    0
 24752,135372,19300423,  110,    0
 24752,135372,19300424,  121,    0
 24752,135372,19300425,  148,    0
 24752,135372,19300426,  162,    0
 24752,135372,19300427,  161,    0
 24752,135372,19300428,  146,    0
 24752,135372,19300429,  105,    0
 24752,135372,19300430,  121,    0
 24752,135372,19300501,  119,    0
 24752,135372,19300502,  126,    0
 24752,135372,19300503,  135,    0
 24752,135372,19300504,  128,    0
 24752,135372,19300505,  120,    0
 24752,135372,19300506,  138,    0
 24752,135372,19300507,  128,    0
 24752,135372,19300508,  105,    0
 24752,135372,19300509,   92,    0
 24752,135372,19300510,   71,    0
 24752,135372,19300511,   90,    0
 24752,135372,19300512,  102,    0
 24752,135372,19300513,  104,    0
 24752,135372,19300514,  130,    0
 24752,135372,19300515,  133,    0
 24752,135372,19300516,  119,    0
 24752,135372,19300517,  119,    0
 24752,135372,19300518,  152,    0
 24752,135372,19300519,  109,    0
 24752,135372,19300520,   83,    0
 24752,135372,19300521,  102,    0
