EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station E6 HORG, NORWAY (STAID: 18411)
Blended and updated with sources:99179 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 18411, 99179,20140101,   44,    0
 18411, 99179,20140102,-9999,    9
 18411, 99179,20140103,   55,    0
 18411, 99179,20140104,-9999,    9
 18411, 99179,20140105,   45,    0
 18411, 99179,20140106,   53,    0
 18411, 99179,20140107,-9999,    9
 18411, 99179,20140108,-9999,    9
 18411, 99179,20140109,   -3,    0
 18411, 99179,20140110,-9999,    9
 18411, 99179,20140111, -115,    0
 18411, 99179,20140112, -165,    0
 18411, 99179,20140113, -125,    0
 18411, 99179,20140114,  -55,    0
 18411, 99179,20140115,-9999,    9
 18411, 99179,20140116,-9999,    9
 18411, 99179,20140117,-9999,    9
 18411, 99179,20140118,  -45,    0
 18411, 99179,20140119,  -36,    0
 18411, 99179,20140120,-9999,    9
 18411, 99179,20140121,  -63,    0
 18411, 99179,20140122,-9999,    9
 18411, 99179,20140123,  -42,    0
 18411, 99179,20140124,  -45,    0
 18411, 99179,20140125,-9999,    9
 18411, 99179,20140126,  -33,    0
 18411, 99179,20140127,  -28,    0
 18411, 99179,20140128,   -1,    0
 18411, 99179,20140129,  -22,    0
 18411, 99179,20140130,  -43,    0
 18411, 99179,20140131,-9999,    9
 18411, 99179,20140201,-9999,    9
 18411, 99179,20140202,-9999,    9
 18411, 99179,20140203,-9999,    9
 18411, 99179,20140204,-9999,    9
 18411, 99179,20140205,    6,    0
 18411, 99179,20140206,    7,    0
 18411, 99179,20140207,   22,    0
 18411, 99179,20140208,   17,    0
 18411, 99179,20140209,   56,    0
 18411, 99179,20140210,-9999,    9
 18411, 99179,20140211,   23,    0
 18411, 99179,20140212,   20,    0
 18411, 99179,20140213,-9999,    9
 18411, 99179,20140214,-9999,    9
 18411, 99179,20140215,   44,    0
 18411, 99179,20140216,   22,    0
 18411, 99179,20140217,-9999,    9
 18411, 99179,20140218,   -3,    0
 18411, 99179,20140219,  -21,    0
 18411, 99179,20140220,-9999,    9
 18411, 99179,20140221,   23,    0
 18411, 99179,20140222,   39,    0
 18411, 99179,20140223,   71,    0
 18411, 99179,20140224,-9999,    9
 18411, 99179,20140225,-9999,    9
 18411, 99179,20140226,   60,    0
 18411, 99179,20140227,-9999,    9
 18411, 99179,20140228,   57,    0
 18411, 99179,20140301,   43,    0
 18411, 99179,20140302,   29,    0
 18411, 99179,20140303,   49,    0
 18411, 99179,20140304,   41,    0
 18411, 99179,20140305,   61,    0
 18411, 99179,20140306,   75,    0
 18411, 99179,20140307,-9999,    9
 18411, 99179,20140308,-9999,    9
 18411, 99179,20140309,   58,    0
 18411, 99179,20140310,-9999,    9
 18411, 99179,20140311,-9999,    9
 18411, 99179,20140312,-9999,    9
 18411, 99179,20140313,   50,    0
 18411, 99179,20140314,   29,    0
 18411, 99179,20140315,-9999,    9
 18411, 99179,20140316,-9999,    9
 18411, 99179,20140317,   -1,    0
 18411, 99179,20140318,  -28,    0
 18411, 99179,20140319,-9999,    9
 18411, 99179,20140320,-9999,    9
 18411, 99179,20140321,-9999,    9
 18411, 99179,20140322,   31,    0
 18411, 99179,20140323,-9999,    9
 18411, 99179,20140324,-9999,    9
 18411, 99179,20140325,-9999,    9
 18411, 99179,20140326,-9999,    9
 18411, 99179,20140327,-9999,    9
 18411, 99179,20140328,-9999,    9
 18411, 99179,20140329,-9999,    9
 18411, 99179,20140330,-9999,    9
 18411, 99179,20140331,-9999,    9
 18411, 99179,20140401,-9999,    9
 18411, 99179,20140402,-9999,    9
 18411, 99179,20140403,-9999,    9
 18411, 99179,20140404,-9999,    9
 18411, 99179,20140405,-9999,    9
 18411, 99179,20140406,-9999,    9
 18411, 99179,20140407,-9999,    9
 18411, 99179,20140408,-9999,    9
 18411, 99179,20140409,-9999,    9
 18411, 99179,20140410,-9999,    9
 18411, 99179,20140411,-9999,    9
 18411, 99179,20140412,-9999,    9
 18411, 99179,20140413,-9999,    9
 18411, 99179,20140414,-9999,    9
 18411, 99179,20140415,-9999,    9
 18411, 99179,20140416,-9999,    9
 18411, 99179,20140417,-9999,    9
 18411, 99179,20140418,-9999,    9
 18411, 99179,20140419,-9999,    9
 18411, 99179,20140420,-9999,    9
 18411, 99179,20140421,-9999,    9
 18411, 99179,20140422,-9999,    9
 18411, 99179,20140423,-9999,    9
 18411, 99179,20140424,-9999,    9
 18411, 99179,20140425,-9999,    9
 18411, 99179,20140426,-9999,    9
 18411, 99179,20140427,-9999,    9
 18411, 99179,20140428,-9999,    9
 18411, 99179,20140429,-9999,    9
 18411, 99179,20140430,-9999,    9
 18411, 99179,20140501,-9999,    9
 18411, 99179,20140502,-9999,    9
 18411, 99179,20140503,-9999,    9
 18411, 99179,20140504,-9999,    9
 18411, 99179,20140505,-9999,    9
 18411, 99179,20140506,-9999,    9
 18411, 99179,20140507,-9999,    9
 18411, 99179,20140508,-9999,    9
 18411, 99179,20140509,-9999,    9
 18411, 99179,20140510,-9999,    9
 18411, 99179,20140511,-9999,    9
 18411, 99179,20140512,-9999,    9
 18411, 99179,20140513,-9999,    9
 18411, 99179,20140514,-9999,    9
 18411, 99179,20140515,-9999,    9
 18411, 99179,20140516,-9999,    9
 18411, 99179,20140517,-9999,    9
 18411, 99179,20140518,-9999,    9
 18411, 99179,20140519,-9999,    9
 18411, 99179,20140520,-9999,    9
 18411, 99179,20140521,-9999,    9
 18411, 99179,20140522,-9999,    9
 18411, 99179,20140523,-9999,    9
 18411, 99179,20140524,-9999,    9
 18411, 99179,20140525,-9999,    9
 18411, 99179,20140526,-9999,    9
 18411, 99179,20140527,-9999,    9
 18411, 99179,20140528,-9999,    9
 18411, 99179,20140529,-9999,    9
 18411, 99179,20140530,-9999,    9
 18411, 99179,20140531,-9999,    9
 18411, 99179,20140601,-9999,    9
 18411, 99179,20140602,-9999,    9
 18411, 99179,20140603,-9999,    9
 18411, 99179,20140604,-9999,    9
 18411, 99179,20140605,-9999,    9
 18411, 99179,20140606,-9999,    9
 18411, 99179,20140607,-9999,    9
 18411, 99179,20140608,-9999,    9
 18411, 99179,20140609,-9999,    9
 18411, 99179,20140610,-9999,    9
 18411, 99179,20140611,-9999,    9
 18411, 99179,20140612,-9999,    9
 18411, 99179,20140613,-9999,    9
 18411, 99179,20140614,-9999,    9
 18411, 99179,20140615,-9999,    9
 18411, 99179,20140616,-9999,    9
 18411, 99179,20140617,-9999,    9
 18411, 99179,20140618,-9999,    9
 18411, 99179,20140619,-9999,    9
 18411, 99179,20140620,-9999,    9
 18411, 99179,20140621,-9999,    9
 18411, 99179,20140622,-9999,    9
 18411, 99179,20140623,-9999,    9
 18411, 99179,20140624,-9999,    9
 18411, 99179,20140625,-9999,    9
 18411, 99179,20140626,-9999,    9
 18411, 99179,20140627,-9999,    9
 18411, 99179,20140628,-9999,    9
 18411, 99179,20140629,-9999,    9
 18411, 99179,20140630,-9999,    9
 18411, 99179,20140701,-9999,    9
 18411, 99179,20140702,-9999,    9
 18411, 99179,20140703,-9999,    9
 18411, 99179,20140704,-9999,    9
 18411, 99179,20140705,-9999,    9
 18411, 99179,20140706,-9999,    9
 18411, 99179,20140707,-9999,    9
 18411, 99179,20140708,-9999,    9
 18411, 99179,20140709,-9999,    9
 18411, 99179,20140710,-9999,    9
 18411, 99179,20140711,-9999,    9
 18411, 99179,20140712,-9999,    9
 18411, 99179,20140713,-9999,    9
 18411, 99179,20140714,-9999,    9
 18411, 99179,20140715,-9999,    9
 18411, 99179,20140716,-9999,    9
 18411, 99179,20140717,-9999,    9
 18411, 99179,20140718,-9999,    9
 18411, 99179,20140719,-9999,    9
 18411, 99179,20140720,-9999,    9
 18411, 99179,20140721,-9999,    9
 18411, 99179,20140722,-9999,    9
 18411, 99179,20140723,-9999,    9
 18411, 99179,20140724,-9999,    9
 18411, 99179,20140725,-9999,    9
 18411, 99179,20140726,-9999,    9
 18411, 99179,20140727,-9999,    9
 18411, 99179,20140728,-9999,    9
 18411, 99179,20140729,-9999,    9
 18411, 99179,20140730,-9999,    9
 18411, 99179,20140731,  161,    0
 18411, 99179,20140801,-9999,    9
 18411, 99179,20140802,-9999,    9
 18411, 99179,20140803,-9999,    9
 18411, 99179,20140804,-9999,    9
 18411, 99179,20140805,-9999,    9
 18411, 99179,20140806,-9999,    9
 18411, 99179,20140807,-9999,    9
 18411, 99179,20140808,-9999,    9
 18411, 99179,20140809,-9999,    9
 18411, 99179,20140810,-9999,    9
 18411, 99179,20140811,-9999,    9
 18411, 99179,20140812,-9999,    9
 18411, 99179,20140813,-9999,    9
 18411, 99179,20140814,-9999,    9
 18411, 99179,20140815,-9999,    9
 18411, 99179,20140816,-9999,    9
 18411, 99179,20140817,-9999,    9
 18411, 99179,20140818,-9999,    9
 18411, 99179,20140819,-9999,    9
 18411, 99179,20140820,-9999,    9
 18411, 99179,20140821,-9999,    9
 18411, 99179,20140822,-9999,    9
 18411, 99179,20140823,-9999,    9
 18411, 99179,20140824,-9999,    9
 18411, 99179,20140825,-9999,    9
 18411, 99179,20140826,-9999,    9
 18411, 99179,20140827,-9999,    9
 18411, 99179,20140828,-9999,    9
 18411, 99179,20140829,-9999,    9
 18411, 99179,20140830,-9999,    9
 18411, 99179,20140831,-9999,    9
 18411, 99179,20140901,-9999,    9
 18411, 99179,20140902,-9999,    9
 18411, 99179,20140903,-9999,    9
 18411, 99179,20140904,-9999,    9
 18411, 99179,20140905,-9999,    9
 18411, 99179,20140906,-9999,    9
 18411, 99179,20140907,-9999,    9
 18411, 99179,20140908,-9999,    9
 18411, 99179,20140909,-9999,    9
 18411, 99179,20140910,-9999,    9
 18411, 99179,20140911,-9999,    9
 18411, 99179,20140912,-9999,    9
 18411, 99179,20140913,-9999,    9
 18411, 99179,20140914,-9999,    9
 18411, 99179,20140915,-9999,    9
 18411, 99179,20140916,-9999,    9
 18411, 99179,20140917,-9999,    9
 18411, 99179,20140918,-9999,    9
 18411, 99179,20140919,-9999,    9
 18411, 99179,20140920,-9999,    9
 18411, 99179,20140921,-9999,    9
 18411, 99179,20140922,-9999,    9
 18411, 99179,20140923,-9999,    9
 18411, 99179,20140924,-9999,    9
 18411, 99179,20140925,-9999,    9
 18411, 99179,20140926,-9999,    9
 18411, 99179,20140927,-9999,    9
 18411, 99179,20140928,-9999,    9
 18411, 99179,20140929,-9999,    9
 18411, 99179,20140930,-9999,    9
 18411, 99179,20141001,-9999,    9
 18411, 99179,20141002,-9999,    9
 18411, 99179,20141003,-9999,    9
 18411, 99179,20141004,-9999,    9
 18411, 99179,20141005,-9999,    9
 18411, 99179,20141006,-9999,    9
 18411, 99179,20141007,-9999,    9
 18411, 99179,20141008,-9999,    9
 18411, 99179,20141009,-9999,    9
 18411, 99179,20141010,-9999,    9
 18411, 99179,20141011,-9999,    9
 18411, 99179,20141012,-9999,    9
 18411, 99179,20141013,-9999,    9
 18411, 99179,20141014,-9999,    9
 18411, 99179,20141015,-9999,    9
 18411, 99179,20141016,-9999,    9
 18411, 99179,20141017,-9999,    9
 18411, 99179,20141018,-9999,    9
 18411, 99179,20141019,-9999,    9
 18411, 99179,20141020,-9999,    9
 18411, 99179,20141021,-9999,    9
 18411, 99179,20141022,-9999,    9
 18411, 99179,20141023,-9999,    9
 18411, 99179,20141024,-9999,    9
 18411, 99179,20141025,-9999,    9
 18411, 99179,20141026,-9999,    9
 18411, 99179,20141027,-9999,    9
 18411, 99179,20141028,-9999,    9
 18411, 99179,20141029,-9999,    9
 18411, 99179,20141030,-9999,    9
 18411, 99179,20141031,-9999,    9
 18411, 99179,20141101,-9999,    9
 18411, 99179,20141102,-9999,    9
 18411, 99179,20141103,-9999,    9
 18411, 99179,20141104,-9999,    9
 18411, 99179,20141105,-9999,    9
 18411, 99179,20141106,-9999,    9
 18411, 99179,20141107,-9999,    9
 18411, 99179,20141108,-9999,    9
 18411, 99179,20141109,-9999,    9
 18411, 99179,20141110,-9999,    9
 18411, 99179,20141111,-9999,    9
 18411, 99179,20141112,-9999,    9
 18411, 99179,20141113,-9999,    9
 18411, 99179,20141114,-9999,    9
 18411, 99179,20141115,-9999,    9
 18411, 99179,20141116,-9999,    9
 18411, 99179,20141117,-9999,    9
 18411, 99179,20141118,-9999,    9
 18411, 99179,20141119,-9999,    9
 18411, 99179,20141120,-9999,    9
 18411, 99179,20141121,-9999,    9
 18411, 99179,20141122,-9999,    9
 18411, 99179,20141123,-9999,    9
 18411, 99179,20141124,-9999,    9
 18411, 99179,20141125,-9999,    9
 18411, 99179,20141126,-9999,    9
 18411, 99179,20141127,-9999,    9
 18411, 99179,20141128,-9999,    9
 18411, 99179,20141129,-9999,    9
 18411, 99179,20141130,-9999,    9
 18411, 99179,20141201,-9999,    9
 18411, 99179,20141202,-9999,    9
 18411, 99179,20141203,-9999,    9
 18411, 99179,20141204,-9999,    9
 18411, 99179,20141205,-9999,    9
 18411, 99179,20141206,-9999,    9
 18411, 99179,20141207,-9999,    9
 18411, 99179,20141208,-9999,    9
 18411, 99179,20141209,-9999,    9
