EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station GALLSPACH, AUSTRIA (STAID: 24685)
Blended and updated with sources:134501 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 24685,134501,19661101,   -5,    0
 24685,134501,19661102,   -2,    0
 24685,134501,19661103,   40,    0
 24685,134501,19661104,   85,    0
 24685,134501,19661105,   50,    0
 24685,134501,19661106,   59,    0
 24685,134501,19661107,   40,    0
 24685,134501,19661108,   76,    0
 24685,134501,19661109,   56,    0
 24685,134501,19661110,   46,    0
 24685,134501,19661111,   60,    0
 24685,134501,19661112,   33,    0
 24685,134501,19661113,    0,    0
 24685,134501,19661114,  -50,    0
 24685,134501,19661115,   -9,    0
 24685,134501,19661116,   28,    0
 24685,134501,19661117,    6,    0
 24685,134501,19661118,   12,    0
 24685,134501,19661119,    6,    0
 24685,134501,19661120,    2,    0
 24685,134501,19661121,    3,    0
 24685,134501,19661122,  -13,    0
 24685,134501,19661123,  -10,    0
 24685,134501,19661124,   -4,    0
 24685,134501,19661125,   -5,    0
 24685,134501,19661126,  -41,    0
 24685,134501,19661127,  -36,    0
 24685,134501,19661128,    1,    0
 24685,134501,19661129,    0,    0
 24685,134501,19661130,    5,    0
 24685,134501,19661201,   13,    0
 24685,134501,19661202,    6,    0
 24685,134501,19661203,   15,    0
 24685,134501,19661204,   -4,    0
 24685,134501,19661205,   10,    0
 24685,134501,19661206,  -13,    0
 24685,134501,19661207,  -10,    0
 24685,134501,19661208,  -18,    0
 24685,134501,19661209,  -19,    0
 24685,134501,19661210,   25,    0
 24685,134501,19661211,   30,    0
 24685,134501,19661212,   18,    0
 24685,134501,19661213,   33,    0
 24685,134501,19661214,   17,    0
 24685,134501,19661215,    0,    0
 24685,134501,19661216,  -22,    0
 24685,134501,19661217,  -19,    0
 24685,134501,19661218,   44,    0
 24685,134501,19661219,   52,    0
 24685,134501,19661220,   43,    0
 24685,134501,19661221,   15,    0
 24685,134501,19661222,  -11,    0
 24685,134501,19661223,  -14,    0
 24685,134501,19661224,   30,    0
 24685,134501,19661225,   34,    0
 24685,134501,19661226,  -31,    0
 24685,134501,19661227,  -74,    0
 24685,134501,19661228,  -54,    0
 24685,134501,19661229,  -24,    0
 24685,134501,19661230,   21,    0
 24685,134501,19661231,   41,    0
 24685,134501,19670101,   53,    0
 24685,134501,19670102,   37,    0
 24685,134501,19670103,   -6,    0
 24685,134501,19670104,  -17,    0
 24685,134501,19670105,  -19,    0
 24685,134501,19670106,  -33,    0
 24685,134501,19670107,  -38,    0
 24685,134501,19670108,  -49,    0
 24685,134501,19670109,  -67,    0
 24685,134501,19670110, -109,    0
 24685,134501,19670111, -123,    0
 24685,134501,19670112,  -32,    0
 24685,134501,19670113,    3,    0
 24685,134501,19670114,   22,    0
 24685,134501,19670115,   20,    0
 24685,134501,19670116,   16,    0
 24685,134501,19670117,  -29,    0
 24685,134501,19670118,  -31,    0
 24685,134501,19670119,  -33,    0
 24685,134501,19670120,  -54,    0
 24685,134501,19670121,  -52,    0
 24685,134501,19670122,   -2,    0
 24685,134501,19670123,   16,    0
 24685,134501,19670124,   -1,    0
 24685,134501,19670125,   14,    0
 24685,134501,19670126,   48,    0
 24685,134501,19670127,   41,    0
 24685,134501,19670128,   11,    0
 24685,134501,19670129,   29,    0
 24685,134501,19670130,   38,    0
