EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station FV65 BYE, NORWAY (STAID: 18458)
Blended and updated with sources:99268 99417 100867 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 18458,100867,19791201,   28,    0
 18458,100867,19791202,   40,    0
 18458,100867,19791203,   -1,    0
 18458,100867,19791204,   18,    0
 18458,100867,19791205,   31,    0
 18458,100867,19791206,   21,    0
 18458,100867,19791207,   -6,    0
 18458,100867,19791208,  -42,    0
 18458,100867,19791209,  -90,    0
 18458,100867,19791210, -197,    0
 18458,100867,19791211, -197,    0
 18458,100867,19791212, -158,    0
 18458,100867,19791213, -147,    0
 18458,100867,19791214,  -28,    0
 18458,100867,19791215,  -62,    0
 18458,100867,19791216, -104,    0
 18458,100867,19791217, -186,    0
 18458,100867,19791218,  -58,    0
 18458,100867,19791219,   -4,    0
 18458,100867,19791220,  -10,    0
 18458,100867,19791221,  -32,    0
 18458,100867,19791222,  -66,    0
 18458,100867,19791223, -166,    0
 18458,100867,19791224,  -40,    0
 18458,100867,19791225,  -85,    0
 18458,100867,19791226,  -81,    0
 18458,100867,19791227,  -23,    0
 18458,100867,19791228,   -1,    0
 18458,100867,19791229,  -92,    0
 18458,100867,19791230, -136,    0
 18458,100867,19791231, -145,    0
 18458,100867,19800101, -136,    0
 18458,100867,19800102, -128,    0
 18458,100867,19800103, -195,    0
 18458,100867,19800104, -192,    0
 18458,100867,19800105, -109,    0
 18458,100867,19800106, -137,    0
 18458,100867,19800107,  -93,    0
 18458,100867,19800108, -133,    0
 18458,100867,19800109, -144,    0
 18458,100867,19800110, -190,    0
 18458,100867,19800111, -183,    0
 18458,100867,19800112,  -47,    0
 18458,100867,19800113,   19,    0
 18458,100867,19800114,    6,    0
 18458,100867,19800115,    4,    0
 18458,100867,19800116,   33,    0
 18458,100867,19800117,   35,    0
 18458,100867,19800118,    6,    0
 18458,100867,19800119,  -27,    0
 18458,100867,19800120, -100,    0
 18458,100867,19800121,  -54,    0
 18458,100867,19800122,  -41,    0
 18458,100867,19800123,   10,    0
 18458,100867,19800124,  -70,    0
 18458,100867,19800125, -169,    0
 18458,100867,19800126,  -52,    0
 18458,100867,19800127,  -70,    0
 18458,100867,19800128,  -85,    0
 18458,100867,19800129,  -80,    0
 18458,100867,19800130, -200,    0
 18458,100867,19800131, -126,    0
 18458,100867,19800201,  -67,    0
 18458,100867,19800202,  -27,    0
 18458,100867,19800203,  -47,    0
 18458,100867,19800204,  -47,    0
 18458,100867,19800205, -164,    0
 18458,100867,19800206, -212,    0
 18458,100867,19800207, -244,    0
 18458,100867,19800208, -250,    0
 18458,100867,19800209, -268,    0
 18458,100867,19800210,  -48,    0
 18458,100867,19800211,  -59,    0
 18458,100867,19800212,  -53,    0
 18458,100867,19800213,  -55,    0
 18458,100867,19800214,   19,    0
 18458,100867,19800215,   17,    0
 18458,100867,19800216,   18,    0
 18458,100867,19800217,  -58,    0
 18458,100867,19800218,  -84,    0
 18458,100867,19800219,  -39,    0
 18458,100867,19800220,  -56,    0
