EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station HAUGASTOEL, NORWAY (STAID: 18860)
Blended and updated with sources:100718 100893 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 18860,100893,19180701,   75,    1
 18860,100893,19180702,  102,    1
 18860,100893,19180703,  127,    1
 18860,100893,19180704,   83,    1
 18860,100893,19180705,   53,    1
 18860,100893,19180706,   51,    1
 18860,100893,19180707,   60,    1
 18860,100893,19180708,  104,    1
 18860,100893,19180709,  116,    1
 18860,100893,19180710,  115,    1
 18860,100893,19180711,   73,    1
 18860,100893,19180712,   71,    1
 18860,100893,19180713,   89,    1
 18860,100893,19180714,   73,    1
 18860,100893,19180715,  117,    1
 18860,100893,19180716,  132,    1
 18860,100893,19180717,  108,    1
 18860,100893,19180718,  106,    1
 18860,100893,19180719,   95,    1
 18860,100893,19180720,  108,    1
 18860,100893,19180721,  111,    1
 18860,100893,19180722,  134,    1
 18860,100893,19180723,  117,    1
 18860,100893,19180724,  127,    1
 18860,100893,19180725,  122,    1
 18860,100893,19180726,  117,    1
 18860,100893,19180727,  121,    1
 18860,100893,19180728,  135,    1
 18860,100893,19180729,  136,    1
 18860,100893,19180730,  122,    1
 18860,100893,19180731,  143,    1
 18860,100893,19180801,  132,    1
 18860,100893,19180802,  130,    1
 18860,100893,19180803,  119,    1
 18860,100893,19180804,  134,    1
 18860,100893,19180805,  133,    1
 18860,100893,19180806,  132,    1
 18860,100893,19180807,  135,    1
 18860,100893,19180808,  137,    1
 18860,100893,19180809,  103,    1
 18860,100893,19180810,  115,    1
 18860,100893,19180811,  132,    1
 18860,100893,19180812,  125,    1
 18860,100893,19180813,  102,    1
 18860,100893,19180814,   89,    1
 18860,100893,19180815,   72,    1
 18860,100893,19180816,   53,    1
 18860,100893,19180817,   68,    1
 18860,100893,19180818,   73,    1
 18860,100893,19180819,   66,    1
 18860,100893,19180820,   72,    1
 18860,100893,19180821,   74,    1
 18860,100893,19180822,   77,    1
 18860,100893,19180823,   47,    1
 18860,100893,19180824,   42,    1
 18860,100893,19180825,   38,    1
 18860,100893,19180826,   56,    1
 18860,100893,19180827,   61,    1
 18860,100893,19180828,   52,    1
 18860,100893,19180829,   40,    1
 18860,100893,19180830,   50,    1
 18860,100893,19180831,   34,    1
 18860,100893,19180901,   17,    1
 18860,100893,19180902,   35,    1
 18860,100893,19180903,   31,    1
 18860,100893,19180904,   34,    1
 18860,100893,19180905,   37,    1
 18860,100893,19180906,   32,    1
 18860,100893,19180907,   68,    1
 18860,100893,19180908,   52,    1
 18860,100893,19180909,   43,    1
 18860,100893,19180910,   36,    1
 18860,100893,19180911,   44,    1
 18860,100893,19180912,   34,    1
 18860,100893,19180913,   44,    1
 18860,100893,19180914,  -20,    0
 18860,100893,19180915,  -30,    0
 18860,100893,19180916,  -10,    0
 18860,100893,19180917,    9,    1
 18860,100893,19180918,   42,    1
 18860,100893,19180919,    3,    1
 18860,100893,19180920,    7,    1
 18860,100893,19180921,  -18,    0
 18860,100893,19180922,  -14,    0
 18860,100893,19180923,   14,    1
 18860,100893,19180924,   31,    1
 18860,100893,19180925,   30,    1
 18860,100893,19180926,   16,    1
 18860,100893,19180927,    2,    1
 18860,100893,19180928,    3,    1
 18860,100893,19180929,   -5,    0
 18860,100893,19180930,  -18,    0
 18860,100893,19181001,  -19,    0
 18860,100893,19181002,  -23,    0
 18860,100893,19181003,   32,    1
 18860,100893,19181004,   40,    1
 18860,100893,19181005,   22,    1
 18860,100893,19181006,   15,    1
 18860,100893,19181007,   16,    1
 18860,100893,19181008,   18,    1
 18860,100893,19181009,   34,    1
 18860,100893,19181010,   53,    1
 18860,100893,19181011,   48,    1
 18860,100893,19181012,   32,    1
 18860,100893,19181013,   40,    1
 18860,100893,19181014,   40,    1
 18860,100893,19181015,   40,    1
 18860,100893,19181016,   50,    1
 18860,100893,19181017,   62,    1
 18860,100893,19181018,   59,    1
 18860,100893,19181019,   55,    1
 18860,100893,19181020,   33,    1
 18860,100893,19181021,   25,    1
 18860,100893,19181022,   -2,    0
 18860,100893,19181023,   13,    1
 18860,100893,19181024,   25,    1
 18860,100893,19181025,   11,    1
 18860,100893,19181026,  -12,    0
 18860,100893,19181027,  -23,    0
 18860,100893,19181028,   17,    1
 18860,100893,19181029,   42,    1
 18860,100893,19181030,   46,    1
 18860,100893,19181031,   30,    1
 18860,100893,19181101,   20,    1
 18860,100893,19181102,   20,    1
 18860,100893,19181103,   18,    1
 18860,100893,19181104,    5,    1
 18860,100893,19181105,   11,    1
 18860,100893,19181106,   -8,    0
 18860,100893,19181107,  -42,    0
 18860,100893,19181108,  -28,    0
 18860,100893,19181109,  -33,    0
 18860,100893,19181110,   -8,    0
 18860,100893,19181111,  -35,    0
 18860,100893,19181112,  -44,    0
 18860,100893,19181113,    2,    1
 18860,100893,19181114,  -19,    0
 18860,100893,19181115,  -41,    0
 18860,100893,19181116,  -13,    0
 18860,100893,19181117,   -3,    0
 18860,100893,19181118,  -37,    0
 18860,100893,19181119,  -24,    0
 18860,100893,19181120,  -63,    0
