EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station SILLIAN, AUSTRIA (STAID: 24778)
Blended and updated with sources:135710 911201 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 24778,135710,19480101,-9999,    9
 24778,135710,19480102,-9999,    9
 24778,135710,19480103,-9999,    9
 24778,135710,19480104,-9999,    9
 24778,135710,19480105,-9999,    9
 24778,135710,19480106,-9999,    9
 24778,135710,19480107,-9999,    9
 24778,135710,19480108,-9999,    9
 24778,135710,19480109,-9999,    9
 24778,135710,19480110,-9999,    9
 24778,135710,19480111,-9999,    9
 24778,135710,19480112,-9999,    9
 24778,135710,19480113,-9999,    9
 24778,135710,19480114,-9999,    9
 24778,135710,19480115,-9999,    9
 24778,135710,19480116,-9999,    9
 24778,135710,19480117,-9999,    9
 24778,135710,19480118,-9999,    9
 24778,135710,19480119,-9999,    9
 24778,135710,19480120,-9999,    9
 24778,135710,19480121,-9999,    9
 24778,135710,19480122,-9999,    9
 24778,135710,19480123,-9999,    9
 24778,135710,19480124,-9999,    9
 24778,135710,19480125,-9999,    9
 24778,135710,19480126,-9999,    9
 24778,135710,19480127,-9999,    9
 24778,135710,19480128,-9999,    9
 24778,135710,19480129,-9999,    9
 24778,135710,19480130,-9999,    9
 24778,135710,19480131,-9999,    9
 24778,135710,19480201,-9999,    9
 24778,135710,19480202,-9999,    9
 24778,135710,19480203,-9999,    9
 24778,135710,19480204,-9999,    9
 24778,135710,19480205,-9999,    9
 24778,135710,19480206,-9999,    9
 24778,135710,19480207,-9999,    9
 24778,135710,19480208,-9999,    9
 24778,135710,19480209,-9999,    9
 24778,135710,19480210,-9999,    9
 24778,135710,19480211,-9999,    9
 24778,135710,19480212,-9999,    9
 24778,135710,19480213,-9999,    9
 24778,135710,19480214,-9999,    9
 24778,135710,19480215,-9999,    9
 24778,135710,19480216,-9999,    9
 24778,135710,19480217,-9999,    9
 24778,135710,19480218,-9999,    9
 24778,135710,19480219,-9999,    9
 24778,135710,19480220,-9999,    9
 24778,135710,19480221,-9999,    9
 24778,135710,19480222,-9999,    9
 24778,135710,19480223,-9999,    9
 24778,135710,19480224,-9999,    9
 24778,135710,19480225,-9999,    9
 24778,135710,19480226,-9999,    9
 24778,135710,19480227,-9999,    9
 24778,135710,19480228,-9999,    9
 24778,135710,19480229,-9999,    9
 24778,135710,19480301,-9999,    9
 24778,135710,19480302,-9999,    9
 24778,135710,19480303,-9999,    9
 24778,135710,19480304,-9999,    9
 24778,135710,19480305,-9999,    9
 24778,135710,19480306,-9999,    9
 24778,135710,19480307,-9999,    9
 24778,135710,19480308,-9999,    9
 24778,135710,19480309,-9999,    9
 24778,135710,19480310,-9999,    9
 24778,135710,19480311,-9999,    9
 24778,135710,19480312,-9999,    9
 24778,135710,19480313,-9999,    9
 24778,135710,19480314,-9999,    9
 24778,135710,19480315,-9999,    9
 24778,135710,19480316,-9999,    9
 24778,135710,19480317,-9999,    9
 24778,135710,19480318,-9999,    9
 24778,135710,19480319,-9999,    9
 24778,135710,19480320,-9999,    9
 24778,135710,19480321,-9999,    9
 24778,135710,19480322,-9999,    9
 24778,135710,19480323,-9999,    9
 24778,135710,19480324,-9999,    9
 24778,135710,19480325,-9999,    9
 24778,135710,19480326,-9999,    9
 24778,135710,19480327,-9999,    9
 24778,135710,19480328,-9999,    9
 24778,135710,19480329,-9999,    9
 24778,135710,19480330,-9999,    9
 24778,135710,19480331,-9999,    9
 24778,135710,19480401,-9999,    9
 24778,135710,19480402,-9999,    9
 24778,135710,19480403,-9999,    9
 24778,135710,19480404,-9999,    9
 24778,135710,19480405,-9999,    9
 24778,135710,19480406,-9999,    9
 24778,135710,19480407,-9999,    9
 24778,135710,19480408,-9999,    9
 24778,135710,19480409,-9999,    9
 24778,135710,19480410,-9999,    9
 24778,135710,19480411,-9999,    9
 24778,135710,19480412,-9999,    9
 24778,135710,19480413,-9999,    9
 24778,135710,19480414,-9999,    9
 24778,135710,19480415,-9999,    9
 24778,135710,19480416,-9999,    9
 24778,135710,19480417,-9999,    9
 24778,135710,19480418,-9999,    9
 24778,135710,19480419,-9999,    9
 24778,135710,19480420,-9999,    9
 24778,135710,19480421,-9999,    9
 24778,135710,19480422,-9999,    9
 24778,135710,19480423,-9999,    9
 24778,135710,19480424,-9999,    9
 24778,135710,19480425,-9999,    9
 24778,135710,19480426,-9999,    9
 24778,135710,19480427,-9999,    9
 24778,135710,19480428,-9999,    9
 24778,135710,19480429,-9999,    9
 24778,135710,19480430,-9999,    9
 24778,135710,19480501,-9999,    9
 24778,135710,19480502,-9999,    9
 24778,135710,19480503,-9999,    9
 24778,135710,19480504,-9999,    9
 24778,135710,19480505,-9999,    9
 24778,135710,19480506,-9999,    9
 24778,135710,19480507,-9999,    9
 24778,135710,19480508,-9999,    9
 24778,135710,19480509,-9999,    9
 24778,135710,19480510,-9999,    9
 24778,135710,19480511,-9999,    9
 24778,135710,19480512,-9999,    9
 24778,135710,19480513,-9999,    9
 24778,135710,19480514,-9999,    9
 24778,135710,19480515,-9999,    9
 24778,135710,19480516,-9999,    9
 24778,135710,19480517,-9999,    9
 24778,135710,19480518,-9999,    9
 24778,135710,19480519,-9999,    9
 24778,135710,19480520,-9999,    9
 24778,135710,19480521,-9999,    9
 24778,135710,19480522,-9999,    9
 24778,135710,19480523,-9999,    9
 24778,135710,19480524,-9999,    9
 24778,135710,19480525,-9999,    9
 24778,135710,19480526,-9999,    9
 24778,135710,19480527,-9999,    9
 24778,135710,19480528,-9999,    9
 24778,135710,19480529,-9999,    9
 24778,135710,19480530,-9999,    9
 24778,135710,19480531,-9999,    9
 24778,135710,19480601,-9999,    9
 24778,135710,19480602,-9999,    9
 24778,135710,19480603,-9999,    9
 24778,135710,19480604,-9999,    9
 24778,135710,19480605,-9999,    9
 24778,135710,19480606,-9999,    9
 24778,135710,19480607,-9999,    9
 24778,135710,19480608,-9999,    9
 24778,135710,19480609,-9999,    9
 24778,135710,19480610,-9999,    9
 24778,135710,19480611,-9999,    9
 24778,135710,19480612,-9999,    9
 24778,135710,19480613,-9999,    9
 24778,135710,19480614,-9999,    9
 24778,135710,19480615,-9999,    9
 24778,135710,19480616,-9999,    9
 24778,135710,19480617,-9999,    9
 24778,135710,19480618,-9999,    9
 24778,135710,19480619,-9999,    9
 24778,135710,19480620,-9999,    9
 24778,135710,19480621,-9999,    9
 24778,135710,19480622,-9999,    9
 24778,135710,19480623,-9999,    9
 24778,135710,19480624,-9999,    9
 24778,135710,19480625,-9999,    9
 24778,135710,19480626,-9999,    9
 24778,135710,19480627,-9999,    9
 24778,135710,19480628,-9999,    9
 24778,135710,19480629,-9999,    9
 24778,135710,19480630,-9999,    9
 24778,135710,19480701,-9999,    9
 24778,135710,19480702,-9999,    9
 24778,135710,19480703,-9999,    9
 24778,135710,19480704,-9999,    9
 24778,135710,19480705,-9999,    9
 24778,135710,19480706,-9999,    9
 24778,135710,19480707,-9999,    9
 24778,135710,19480708,-9999,    9
 24778,135710,19480709,-9999,    9
 24778,135710,19480710,-9999,    9
 24778,135710,19480711,-9999,    9
 24778,135710,19480712,-9999,    9
 24778,135710,19480713,-9999,    9
 24778,135710,19480714,-9999,    9
 24778,135710,19480715,-9999,    9
 24778,135710,19480716,-9999,    9
 24778,135710,19480717,-9999,    9
 24778,135710,19480718,-9999,    9
 24778,135710,19480719,-9999,    9
 24778,135710,19480720,-9999,    9
 24778,135710,19480721,-9999,    9
 24778,135710,19480722,-9999,    9
 24778,135710,19480723,-9999,    9
 24778,135710,19480724,-9999,    9
 24778,135710,19480725,-9999,    9
 24778,135710,19480726,-9999,    9
 24778,135710,19480727,-9999,    9
 24778,135710,19480728,-9999,    9
 24778,135710,19480729,-9999,    9
 24778,135710,19480730,-9999,    9
 24778,135710,19480731,-9999,    9
 24778,135710,19480801,-9999,    9
 24778,135710,19480802,-9999,    9
 24778,135710,19480803,-9999,    9
 24778,135710,19480804,-9999,    9
 24778,135710,19480805,-9999,    9
 24778,135710,19480806,-9999,    9
 24778,135710,19480807,-9999,    9
 24778,135710,19480808,-9999,    9
 24778,135710,19480809,-9999,    9
 24778,135710,19480810,-9999,    9
 24778,135710,19480811,-9999,    9
 24778,135710,19480812,-9999,    9
 24778,135710,19480813,-9999,    9
 24778,135710,19480814,-9999,    9
 24778,135710,19480815,-9999,    9
 24778,135710,19480816,-9999,    9
 24778,135710,19480817,-9999,    9
 24778,135710,19480818,-9999,    9
 24778,135710,19480819,-9999,    9
 24778,135710,19480820,-9999,    9
 24778,135710,19480821,-9999,    9
 24778,135710,19480822,-9999,    9
 24778,135710,19480823,-9999,    9
 24778,135710,19480824,-9999,    9
 24778,135710,19480825,-9999,    9
 24778,135710,19480826,-9999,    9
 24778,135710,19480827,-9999,    9
 24778,135710,19480828,-9999,    9
 24778,135710,19480829,-9999,    9
 24778,135710,19480830,-9999,    9
 24778,135710,19480831,-9999,    9
 24778,135710,19480901,-9999,    9
 24778,135710,19480902,-9999,    9
 24778,135710,19480903,-9999,    9
 24778,135710,19480904,-9999,    9
 24778,135710,19480905,-9999,    9
 24778,135710,19480906,-9999,    9
 24778,135710,19480907,-9999,    9
 24778,135710,19480908,-9999,    9
 24778,135710,19480909,-9999,    9
 24778,135710,19480910,-9999,    9
 24778,135710,19480911,-9999,    9
 24778,135710,19480912,-9999,    9
 24778,135710,19480913,-9999,    9
 24778,135710,19480914,-9999,    9
 24778,135710,19480915,-9999,    9
 24778,135710,19480916,-9999,    9
 24778,135710,19480917,-9999,    9
 24778,135710,19480918,-9999,    9
 24778,135710,19480919,-9999,    9
 24778,135710,19480920,-9999,    9
 24778,135710,19480921,-9999,    9
 24778,135710,19480922,-9999,    9
 24778,135710,19480923,-9999,    9
 24778,135710,19480924,-9999,    9
 24778,135710,19480925,-9999,    9
 24778,135710,19480926,-9999,    9
 24778,135710,19480927,-9999,    9
 24778,135710,19480928,-9999,    9
 24778,135710,19480929,-9999,    9
 24778,135710,19480930,-9999,    9
 24778,135710,19481001,-9999,    9
 24778,135710,19481002,-9999,    9
 24778,135710,19481003,-9999,    9
 24778,135710,19481004,-9999,    9
 24778,135710,19481005,-9999,    9
 24778,135710,19481006,-9999,    9
 24778,135710,19481007,-9999,    9
