EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station BRENNER, AUSTRIA (STAID: 24602)
Blended and updated with sources:128664 128716 133422 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 24602,133422,19480101,  -81,    0
 24602,133422,19480102,  -22,    0
 24602,133422,19480103,   28,    0
 24602,133422,19480104,   26,    0
 24602,133422,19480105,    0,    0
 24602,133422,19480106,  -13,    0
 24602,133422,19480107,  -15,    0
 24602,133422,19480108,  -30,    0
 24602,133422,19480109,  -49,    0
 24602,133422,19480110,  -51,    0
 24602,133422,19480111,  -17,    0
 24602,133422,19480112,   -6,    0
 24602,133422,19480113,    2,    0
 24602,133422,19480114,   22,    0
 24602,133422,19480115,   -6,    0
 24602,133422,19480116,  -53,    0
 24602,133422,19480117,  -60,    0
 24602,133422,19480118,  -21,    0
 24602,133422,19480119,  -34,    0
 24602,133422,19480120,  -43,    0
 24602,133422,19480121,  -70,    0
 24602,133422,19480122, -107,    0
 24602,133422,19480123, -101,    0
 24602,133422,19480124,  -29,    0
 24602,133422,19480125,   11,    0
 24602,133422,19480126,   -1,    0
 24602,133422,19480127,   -3,    0
 24602,133422,19480128,   -1,    0
 24602,133422,19480129,  -24,    0
 24602,133422,19480130,    8,    0
 24602,133422,19480131,    8,    0
 24602,133422,19480201,   15,    0
 24602,133422,19480202,   -4,    0
 24602,133422,19480203,   20,    0
 24602,133422,19480204,   10,    0
 24602,133422,19480205,  -23,    0
 24602,133422,19480206,  -46,    0
 24602,133422,19480207,  -26,    0
 24602,133422,19480208,  -18,    0
 24602,133422,19480209,   24,    0
 24602,133422,19480210,   -9,    0
 24602,133422,19480211,  -15,    0
 24602,133422,19480212,  -15,    0
 24602,133422,19480213,  -16,    0
 24602,133422,19480214,  -25,    0
 24602,133422,19480215,    7,    0
 24602,133422,19480216,  -46,    0
 24602,133422,19480217, -106,    0
 24602,133422,19480218, -133,    0
 24602,133422,19480219, -157,    0
 24602,133422,19480220, -149,    0
 24602,133422,19480221,  -75,    0
 24602,133422,19480222,  -43,    0
 24602,133422,19480223,  -74,    0
 24602,133422,19480224,  -91,    0
 24602,133422,19480225,  -78,    0
 24602,133422,19480226,  -63,    0
 24602,133422,19480227,  -41,    0
 24602,133422,19480228,  -12,    0
 24602,133422,19480229,  -12,    0
 24602,133422,19480301,   -9,    0
 24602,133422,19480302,   -5,    0
 24602,133422,19480303,    4,    0
 24602,133422,19480304,    9,    0
 24602,133422,19480305,   19,    0
 24602,133422,19480306,   22,    0
 24602,133422,19480307,   28,    0
 24602,133422,19480308,   14,    0
 24602,133422,19480309,   55,    0
 24602,133422,19480310,   63,    0
 24602,133422,19480311,   38,    0
 24602,133422,19480312,   18,    0
 24602,133422,19480313,   25,    0
 24602,133422,19480314,   26,    0
 24602,133422,19480315,   29,    0
 24602,133422,19480316,   29,    0
 24602,133422,19480317,   25,    0
 24602,133422,19480318,   42,    0
 24602,133422,19480319,   17,    0
 24602,133422,19480320,   22,    0
 24602,133422,19480321,   50,    0
 24602,133422,19480322,   55,    0
 24602,133422,19480323,   41,    0
 24602,133422,19480324,   17,    0
 24602,133422,19480325,   38,    0
 24602,133422,19480326,   23,    0
 24602,133422,19480327,    7,    0
 24602,133422,19480328,   22,    0
 24602,133422,19480329,   35,    0
 24602,133422,19480330,   38,    0
 24602,133422,19480331,   49,    0
 24602,133422,19480401,   26,    0
 24602,133422,19480402,    8,    0
 24602,133422,19480403,    5,    0
 24602,133422,19480404,    4,    0
 24602,133422,19480405,   28,    0
 24602,133422,19480406,    2,    0
 24602,133422,19480407,  -13,    0
 24602,133422,19480408,   28,    0
 24602,133422,19480409,   13,    0
 24602,133422,19480410,    0,    0
 24602,133422,19480411,   11,    0
 24602,133422,19480412,   35,    0
 24602,133422,19480413,   47,    0
 24602,133422,19480414,   48,    0
 24602,133422,19480415,   50,    0
 24602,133422,19480416,   33,    0
 24602,133422,19480417,   62,    0
 24602,133422,19480418,   86,    0
 24602,133422,19480419,   93,    0
 24602,133422,19480420,   86,    0
 24602,133422,19480421,   99,    0
 24602,133422,19480422,   65,    0
 24602,133422,19480423,   99,    0
 24602,133422,19480424,   60,    0
 24602,133422,19480425,   45,    0
 24602,133422,19480426,   33,    0
 24602,133422,19480427,   35,    0
 24602,133422,19480428,   62,    0
 24602,133422,19480429,   65,    0
 24602,133422,19480430,   28,    0
 24602,133422,19480501,   55,    0
 24602,133422,19480502,   60,    0
 24602,133422,19480503,   62,    0
 24602,133422,19480504,   65,    0
 24602,133422,19480505,   96,    0
 24602,133422,19480506,   89,    0
 24602,133422,19480507,  103,    0
 24602,133422,19480508,  101,    0
 24602,133422,19480509,  110,    0
 24602,133422,19480510,  109,    0
 24602,133422,19480511,  116,    0
 24602,133422,19480512,  113,    0
 24602,133422,19480513,  138,    0
 24602,133422,19480514,  128,    0
 24602,133422,19480515,  131,    0
 24602,133422,19480516,  136,    0
 24602,133422,19480517,  134,    0
 24602,133422,19480518,  107,    0
 24602,133422,19480519,   59,    0
 24602,133422,19480520,   70,    0
 24602,133422,19480521,   70,    0
 24602,133422,19480522,   79,    0
 24602,133422,19480523,   95,    0
 24602,133422,19480524,  113,    0
 24602,133422,19480525,  125,    0
 24602,133422,19480526,  118,    0
 24602,133422,19480527,  112,    0
 24602,133422,19480528,  104,    0
 24602,133422,19480529,  115,    0
 24602,133422,19480530,   62,    0
 24602,133422,19480531,   76,    0
