EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station KOLLERSCHLAG, AUSTRIA (STAID: 23908)
Blended and updated with sources:124478 131823 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 23908,124478,18950701,-9999,    9
 23908,124478,18950702,-9999,    9
 23908,124478,18950703,-9999,    9
 23908,124478,18950704,-9999,    9
 23908,124478,18950705,-9999,    9
 23908,124478,18950706,-9999,    9
 23908,124478,18950707,-9999,    9
 23908,124478,18950708,-9999,    9
 23908,124478,18950709,-9999,    9
 23908,124478,18950710,-9999,    9
 23908,124478,18950711,-9999,    9
 23908,124478,18950712,-9999,    9
 23908,124478,18950713,-9999,    9
 23908,124478,18950714,-9999,    9
 23908,124478,18950715,-9999,    9
 23908,124478,18950716,-9999,    9
 23908,124478,18950717,-9999,    9
 23908,124478,18950718,-9999,    9
 23908,124478,18950719,-9999,    9
 23908,124478,18950720,-9999,    9
 23908,124478,18950721,-9999,    9
 23908,124478,18950722,-9999,    9
 23908,124478,18950723,-9999,    9
 23908,124478,18950724,-9999,    9
 23908,124478,18950725,-9999,    9
 23908,124478,18950726,-9999,    9
 23908,124478,18950727,-9999,    9
 23908,124478,18950728,-9999,    9
 23908,124478,18950729,-9999,    9
 23908,124478,18950730,-9999,    9
 23908,124478,18950731,-9999,    9
 23908,124478,18950801,-9999,    9
 23908,124478,18950802,-9999,    9
 23908,124478,18950803,-9999,    9
 23908,124478,18950804,-9999,    9
 23908,124478,18950805,-9999,    9
 23908,124478,18950806,-9999,    9
 23908,124478,18950807,-9999,    9
 23908,124478,18950808,-9999,    9
 23908,124478,18950809,-9999,    9
 23908,124478,18950810,-9999,    9
 23908,124478,18950811,-9999,    9
 23908,124478,18950812,-9999,    9
 23908,124478,18950813,-9999,    9
 23908,124478,18950814,-9999,    9
 23908,124478,18950815,-9999,    9
 23908,124478,18950816,-9999,    9
 23908,124478,18950817,-9999,    9
 23908,124478,18950818,-9999,    9
 23908,124478,18950819,-9999,    9
 23908,124478,18950820,-9999,    9
 23908,124478,18950821,-9999,    9
 23908,124478,18950822,-9999,    9
 23908,124478,18950823,-9999,    9
 23908,124478,18950824,-9999,    9
 23908,124478,18950825,-9999,    9
 23908,124478,18950826,-9999,    9
 23908,124478,18950827,-9999,    9
 23908,124478,18950828,-9999,    9
 23908,124478,18950829,-9999,    9
 23908,124478,18950830,-9999,    9
 23908,124478,18950831,-9999,    9
 23908,124478,18950901,-9999,    9
 23908,124478,18950902,-9999,    9
 23908,124478,18950903,-9999,    9
 23908,124478,18950904,-9999,    9
 23908,124478,18950905,-9999,    9
 23908,124478,18950906,-9999,    9
 23908,124478,18950907,-9999,    9
 23908,124478,18950908,-9999,    9
 23908,124478,18950909,-9999,    9
 23908,124478,18950910,-9999,    9
 23908,124478,18950911,-9999,    9
 23908,124478,18950912,-9999,    9
 23908,124478,18950913,-9999,    9
 23908,124478,18950914,-9999,    9
 23908,124478,18950915,-9999,    9
 23908,124478,18950916,-9999,    9
 23908,124478,18950917,-9999,    9
 23908,124478,18950918,-9999,    9
 23908,124478,18950919,-9999,    9
 23908,124478,18950920,-9999,    9
 23908,124478,18950921,-9999,    9
 23908,124478,18950922,-9999,    9
 23908,124478,18950923,-9999,    9
 23908,124478,18950924,-9999,    9
 23908,124478,18950925,-9999,    9
 23908,124478,18950926,-9999,    9
 23908,124478,18950927,-9999,    9
 23908,124478,18950928,-9999,    9
 23908,124478,18950929,-9999,    9
 23908,124478,18950930,-9999,    9
 23908,124478,18951001,-9999,    9
 23908,124478,18951002,-9999,    9
 23908,124478,18951003,-9999,    9
 23908,124478,18951004,-9999,    9
 23908,124478,18951005,-9999,    9
 23908,124478,18951006,-9999,    9
 23908,124478,18951007,-9999,    9
 23908,124478,18951008,-9999,    9
 23908,124478,18951009,-9999,    9
 23908,124478,18951010,-9999,    9
 23908,124478,18951011,-9999,    9
 23908,124478,18951012,-9999,    9
 23908,124478,18951013,-9999,    9
 23908,124478,18951014,-9999,    9
 23908,124478,18951015,-9999,    9
 23908,124478,18951016,-9999,    9
 23908,124478,18951017,-9999,    9
 23908,124478,18951018,-9999,    9
 23908,124478,18951019,-9999,    9
 23908,124478,18951020,-9999,    9
 23908,124478,18951021,-9999,    9
 23908,124478,18951022,-9999,    9
 23908,124478,18951023,-9999,    9
 23908,124478,18951024,-9999,    9
 23908,124478,18951025,-9999,    9
 23908,124478,18951026,-9999,    9
 23908,124478,18951027,-9999,    9
 23908,124478,18951028,-9999,    9
 23908,124478,18951029,-9999,    9
 23908,124478,18951030,-9999,    9
 23908,124478,18951031,-9999,    9
 23908,124478,18951101,-9999,    9
 23908,124478,18951102,-9999,    9
 23908,124478,18951103,-9999,    9
 23908,124478,18951104,-9999,    9
 23908,124478,18951105,-9999,    9
 23908,124478,18951106,-9999,    9
 23908,124478,18951107,-9999,    9
 23908,124478,18951108,-9999,    9
 23908,124478,18951109,-9999,    9
 23908,124478,18951110,-9999,    9
 23908,124478,18951111,-9999,    9
 23908,124478,18951112,-9999,    9
 23908,124478,18951113,-9999,    9
 23908,124478,18951114,-9999,    9
 23908,124478,18951115,-9999,    9
 23908,124478,18951116,-9999,    9
 23908,124478,18951117,-9999,    9
 23908,124478,18951118,-9999,    9
 23908,124478,18951119,-9999,    9
 23908,124478,18951120,-9999,    9
 23908,124478,18951121,-9999,    9
 23908,124478,18951122,-9999,    9
 23908,124478,18951123,-9999,    9
 23908,124478,18951124,-9999,    9
 23908,124478,18951125,-9999,    9
 23908,124478,18951126,-9999,    9
 23908,124478,18951127,-9999,    9
 23908,124478,18951128,-9999,    9
 23908,124478,18951129,-9999,    9
 23908,124478,18951130,-9999,    9
 23908,124478,18951201,-9999,    9
 23908,124478,18951202,-9999,    9
 23908,124478,18951203,-9999,    9
 23908,124478,18951204,-9999,    9
 23908,124478,18951205,-9999,    9
 23908,124478,18951206,-9999,    9
 23908,124478,18951207,-9999,    9
 23908,124478,18951208,-9999,    9
 23908,124478,18951209,-9999,    9
 23908,124478,18951210,-9999,    9
 23908,124478,18951211,-9999,    9
 23908,124478,18951212,-9999,    9
 23908,124478,18951213,-9999,    9
 23908,124478,18951214,-9999,    9
 23908,124478,18951215,-9999,    9
 23908,124478,18951216,-9999,    9
 23908,124478,18951217,-9999,    9
 23908,124478,18951218,-9999,    9
 23908,124478,18951219,-9999,    9
 23908,124478,18951220,-9999,    9
 23908,124478,18951221,-9999,    9
 23908,124478,18951222,-9999,    9
 23908,124478,18951223,-9999,    9
 23908,124478,18951224,-9999,    9
 23908,124478,18951225,-9999,    9
 23908,124478,18951226,-9999,    9
 23908,124478,18951227,-9999,    9
 23908,124478,18951228,-9999,    9
 23908,124478,18951229,-9999,    9
 23908,124478,18951230,-9999,    9
 23908,124478,18951231,-9999,    9
 23908,124478,18960101,-9999,    9
 23908,124478,18960102,-9999,    9
 23908,124478,18960103,-9999,    9
 23908,124478,18960104,-9999,    9
 23908,124478,18960105,-9999,    9
 23908,124478,18960106,-9999,    9
 23908,124478,18960107,-9999,    9
 23908,124478,18960108,-9999,    9
 23908,124478,18960109,-9999,    9
 23908,124478,18960110,-9999,    9
 23908,124478,18960111,-9999,    9
 23908,124478,18960112,-9999,    9
 23908,124478,18960113,-9999,    9
 23908,124478,18960114,-9999,    9
 23908,124478,18960115,-9999,    9
 23908,124478,18960116,-9999,    9
 23908,124478,18960117,-9999,    9
 23908,124478,18960118,-9999,    9
 23908,124478,18960119,-9999,    9
 23908,124478,18960120,-9999,    9
 23908,124478,18960121,-9999,    9
 23908,124478,18960122,-9999,    9
 23908,124478,18960123,-9999,    9
 23908,124478,18960124,-9999,    9
 23908,124478,18960125,-9999,    9
 23908,124478,18960126,-9999,    9
 23908,124478,18960127,-9999,    9
 23908,124478,18960128,-9999,    9
 23908,124478,18960129,-9999,    9
 23908,124478,18960130,-9999,    9
 23908,124478,18960131,-9999,    9
 23908,124478,18960201,-9999,    9
 23908,124478,18960202,-9999,    9
 23908,124478,18960203,-9999,    9
 23908,124478,18960204,-9999,    9
 23908,124478,18960205,-9999,    9
 23908,124478,18960206,-9999,    9
 23908,124478,18960207,-9999,    9
 23908,124478,18960208,-9999,    9
 23908,124478,18960209,-9999,    9
 23908,124478,18960210,-9999,    9
 23908,124478,18960211,-9999,    9
 23908,124478,18960212,-9999,    9
 23908,124478,18960213,-9999,    9
 23908,124478,18960214,-9999,    9
 23908,124478,18960215,-9999,    9
 23908,124478,18960216,-9999,    9
 23908,124478,18960217,-9999,    9
 23908,124478,18960218,-9999,    9
 23908,124478,18960219,-9999,    9
 23908,124478,18960220,-9999,    9
 23908,124478,18960221,-9999,    9
 23908,124478,18960222,-9999,    9
 23908,124478,18960223,-9999,    9
 23908,124478,18960224,-9999,    9
 23908,124478,18960225,-9999,    9
 23908,124478,18960226,-9999,    9
 23908,124478,18960227,-9999,    9
 23908,124478,18960228,-9999,    9
 23908,124478,18960229,-9999,    9
 23908,124478,18960301,-9999,    9
 23908,124478,18960302,-9999,    9
 23908,124478,18960303,-9999,    9
 23908,124478,18960304,-9999,    9
 23908,124478,18960305,-9999,    9
 23908,124478,18960306,-9999,    9
 23908,124478,18960307,-9999,    9
 23908,124478,18960308,-9999,    9
 23908,124478,18960309,-9999,    9
 23908,124478,18960310,-9999,    9
 23908,124478,18960311,-9999,    9
 23908,124478,18960312,-9999,    9
 23908,124478,18960313,-9999,    9
 23908,124478,18960314,-9999,    9
 23908,124478,18960315,-9999,    9
 23908,124478,18960316,-9999,    9
 23908,124478,18960317,-9999,    9
 23908,124478,18960318,-9999,    9
 23908,124478,18960319,-9999,    9
 23908,124478,18960320,-9999,    9
 23908,124478,18960321,-9999,    9
 23908,124478,18960322,-9999,    9
 23908,124478,18960323,-9999,    9
 23908,124478,18960324,-9999,    9
 23908,124478,18960325,-9999,    9
 23908,124478,18960326,-9999,    9
 23908,124478,18960327,-9999,    9
 23908,124478,18960328,-9999,    9
 23908,124478,18960329,-9999,    9
 23908,124478,18960330,-9999,    9
 23908,124478,18960331,-9999,    9
 23908,124478,18960401,-9999,    9
 23908,124478,18960402,-9999,    9
 23908,124478,18960403,-9999,    9
 23908,124478,18960404,-9999,    9
 23908,124478,18960405,-9999,    9
 23908,124478,18960406,-9999,    9
 23908,124478,18960407,-9999,    9
 23908,124478,18960408,-9999,    9
 23908,124478,18960409,-9999,    9
 23908,124478,18960410,-9999,    9
 23908,124478,18960411,-9999,    9
 23908,124478,18960412,-9999,    9
 23908,124478,18960413,-9999,    9
 23908,124478,18960414,-9999,    9
 23908,124478,18960415,-9999,    9
 23908,124478,18960416,-9999,    9
 23908,124478,18960417,-9999,    9
 23908,124478,18960418,-9999,    9
 23908,124478,18960419,-9999,    9
 23908,124478,18960420,-9999,    9
 23908,124478,18960421,-9999,    9
 23908,124478,18960422,-9999,    9
 23908,124478,18960423,-9999,    9
 23908,124478,18960424,-9999,    9
 23908,124478,18960425,-9999,    9
 23908,124478,18960426,-9999,    9
 23908,124478,18960427,-9999,    9
 23908,124478,18960428,-9999,    9
 23908,124478,18960429,-9999,    9
 23908,124478,18960430,-9999,    9
 23908,124478,18960501,-9999,    9
 23908,124478,18960502,-9999,    9
 23908,124478,18960503,-9999,    9
 23908,124478,18960504,-9999,    9
 23908,124478,18960505,-9999,    9
 23908,124478,18960506,-9999,    9
 23908,124478,18960507,-9999,    9
 23908,124478,18960508,-9999,    9
 23908,124478,18960509,-9999,    9
 23908,124478,18960510,-9999,    9
 23908,124478,18960511,-9999,    9
 23908,124478,18960512,-9999,    9
 23908,124478,18960513,-9999,    9
 23908,124478,18960514,-9999,    9
 23908,124478,18960515,-9999,    9
 23908,124478,18960516,-9999,    9
 23908,124478,18960517,-9999,    9
 23908,124478,18960518,-9999,    9
 23908,124478,18960519,-9999,    9
 23908,124478,18960520,-9999,    9
