EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station FV40 RIENLIA, NORWAY (STAID: 18553)
Blended and updated with sources:99450 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 18553, 99450,20151101,-9999,    9
 18553, 99450,20151102,-9999,    9
 18553, 99450,20151103,-9999,    9
 18553, 99450,20151104,-9999,    9
 18553, 99450,20151105,-9999,    9
 18553, 99450,20151106,-9999,    9
 18553, 99450,20151107,-9999,    9
 18553, 99450,20151108,-9999,    9
 18553, 99450,20151109,-9999,    9
 18553, 99450,20151110,-9999,    9
 18553, 99450,20151111,-9999,    9
 18553, 99450,20151112,-9999,    9
 18553, 99450,20151113,-9999,    9
 18553, 99450,20151114,-9999,    9
 18553, 99450,20151115,-9999,    9
 18553, 99450,20151116,-9999,    9
 18553, 99450,20151117,-9999,    9
 18553, 99450,20151118,   -1,    0
 18553, 99450,20151119,    1,    0
 18553, 99450,20151120,  -46,    0
 18553, 99450,20151121,-9999,    9
 18553, 99450,20151122,  -59,    0
 18553, 99450,20151123,  -65,    0
 18553, 99450,20151124,   15,    0
 18553, 99450,20151125,   -5,    0
 18553, 99450,20151126,  -20,    0
 18553, 99450,20151127,-9999,    9
 18553, 99450,20151128,   31,    0
 18553, 99450,20151129,   25,    0
 18553, 99450,20151130,   14,    0
 18553, 99450,20151201,   19,    0
