EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station UNKEN, AUSTRIA (STAID: 24751)
Blended and updated with sources:135359 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 24751,135359,19480101,  -12,    0
 24751,135359,19480102,   20,    0
 24751,135359,19480103,   44,    0
 24751,135359,19480104,   45,    0
 24751,135359,19480105,   37,    0
 24751,135359,19480106,   49,    0
 24751,135359,19480107,   42,    0
 24751,135359,19480108,   32,    0
 24751,135359,19480109,   11,    0
 24751,135359,19480110,   50,    0
 24751,135359,19480111,   33,    0
 24751,135359,19480112,   38,    0
 24751,135359,19480113,   57,    0
 24751,135359,19480114,   99,    0
 24751,135359,19480115,   13,    0
 24751,135359,19480116,   11,    0
 24751,135359,19480117,    1,    0
 24751,135359,19480118,   -2,    0
 24751,135359,19480119,  -12,    0
 24751,135359,19480120,  -23,    0
 24751,135359,19480121,  -30,    0
 24751,135359,19480122,  -66,    0
 24751,135359,19480123,  -37,    0
 24751,135359,19480124,   24,    0
 24751,135359,19480125,   52,    0
 24751,135359,19480126,   31,    0
 24751,135359,19480127,   50,    0
 24751,135359,19480128,   31,    0
 24751,135359,19480129,   44,    0
 24751,135359,19480130,   58,    0
 24751,135359,19480131,   81,    0
 24751,135359,19480201,   51,    0
 24751,135359,19480202,   45,    0
 24751,135359,19480203,   69,    0
 24751,135359,19480204,   59,    0
 24751,135359,19480205,   36,    0
 24751,135359,19480206,   28,    0
 24751,135359,19480207,   35,    0
 24751,135359,19480208,   38,    0
 24751,135359,19480209,   78,    0
 24751,135359,19480210,   34,    0
 24751,135359,19480211,   29,    0
 24751,135359,19480212,   30,    0
 24751,135359,19480213,   19,    0
 24751,135359,19480214,   19,    0
 24751,135359,19480215,   27,    0
 24751,135359,19480216,   -3,    0
 24751,135359,19480217,  -48,    0
 24751,135359,19480218,  -54,    0
 24751,135359,19480219, -117,    0
 24751,135359,19480220, -123,    0
 24751,135359,19480221,  -79,    0
 24751,135359,19480222,  -30,    0
 24751,135359,19480223,  -39,    0
 24751,135359,19480224,  -44,    0
 24751,135359,19480225,  -78,    0
 24751,135359,19480226,  -79,    0
 24751,135359,19480227,  -21,    0
 24751,135359,19480228,    4,    0
 24751,135359,19480229,   13,    0
 24751,135359,19480301,    7,    0
 24751,135359,19480302,    7,    0
 24751,135359,19480303,   21,    0
 24751,135359,19480304,   18,    0
 24751,135359,19480305,   32,    0
 24751,135359,19480306,   66,    0
 24751,135359,19480307,   65,    0
 24751,135359,19480308,   54,    0
 24751,135359,19480309,   72,    0
